date_text,clean_title,cancelled,formerly,venue,time_text,start_utc,href
"Wednesday, July 22",HPO Downtown Summer Concert Series,False,,Fringe Boulevard,12.00pm,2026-07-22 16:00:00,https://hftco.ca/events/hpo-downtown-summer-concert-series/
"Wednesday, July 22","Community Book Swap (Take a Book, Leave a Book!) [RESCHEDULED]",False,,Fringe Boulevard,12.00pm,2026-07-22 16:00:00,https://hftco.ca/events/community-book-swap-take-a-book-leave-a-book/
"Wednesday, July 22",Keeping Six Open Mic presented by Hamilton Community Foundation,False,,Fringe Boulevard,5.00pm,2026-07-22 21:00:00,https://hftco.ca/events/keeping-six-open-mic-presented-by-hamilton-community-foundation/
"Wednesday, July 22",The Outlaw and the Son,False,,The Westdale,6.00pm,2026-07-22 22:00:00,https://hftco.ca/events/the-outlaw-and-the-son/
"Wednesday, July 22",Mark II,False,,The Gasworks,6.00pm,2026-07-22 22:00:00,https://hftco.ca/events/mark-ii/
"Wednesday, July 22",GO,False,,Mills Hardware,6.00pm,2026-07-22 22:00:00,https://hftco.ca/events/go/
"Wednesday, July 22",LOVE & CRAÍC,False,,The Staircase | Studio Theatre,6.15pm,2026-07-22 22:15:00,https://hftco.ca/events/love-craic/
"Wednesday, July 22",There is No Anger Like That of a Woman,False,,Theatre Aquarius Studio,6.15pm,2026-07-22 22:15:00,https://hftco.ca/events/there-is-no-anger-like-that-of-a-woman/
"Wednesday, July 22",Notes From Underground,False,,The Players’ Guild of Hamilton,6.15pm,2026-07-22 22:15:00,https://hftco.ca/events/notes-from-underground/
"Wednesday, July 22",DND Live: Camp DieNoMore,False,,The Staircase | Bright Room,7.00pm,2026-07-22 23:00:00,https://hftco.ca/events/dnd-live-camp-dienomore/
"Wednesday, July 22",CANCELLED: Sidewalk Cinema: Taylor Swift’s Eras Tour (The Final Show),True,,Fringe Boulevard,7.00pm,2026-07-22 23:00:00,https://hftco.ca/events/sidewalk-cinema-taylor-swifts-eras-tour-the-final-show/
"Wednesday, July 22",“Kill Me Now” – The Teaching Confessions of an Undercover Creative,False,,The Gasworks,7.30pm,2026-07-22 23:30:00,https://hftco.ca/events/kill-me-now-the-teaching-confessions-of-an-undercover-creative/
